what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355215054525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215066135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215068735
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355215075317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215079187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215081444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215081618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215093486
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.filebuffers"".",1355215093525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215093533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215093563
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1355215093581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215100681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355215105852
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1355215105861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355215107604
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355215109898
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1355215113745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355215155966
